
q01  The effective date of the new 'healthy' claim rule was delayed. Did the compliance deadl
     no, only the effective date moved                    want=PASS got=PASS
     phrased around the negated verb                      want=PASS got=PASS
     says YES, then names the right date                  want=FAIL got=FAIL
     conflates the two dates outright                     want=FAIL got=FAIL
  [~] concessive yes that names the right date             scores PASS — known limitation, documented in the question's note
  [~] terse yes/no plus the date — a yes/no answer is unscorable scores FAIL — known limitation, documented in the question's note

q02  We make a strawberry frosting containing FD&C Red No. 3. When exactly must we stop using
     safe harbour for product already made                want=PASS got=PASS
     inverts the grandfather clause                       want=FAIL got=FAIL
     asserts a recall in fresh vocabulary                 want=FAIL got=FAIL
     safe harbour via the certificate mechanism           want=PASS got=PASS
  [~] inversion that ALSO mentions product made before     scores PASS — known limitation, documented in the question's note

q03  Our fruit-flavored cocktail mixer contains Red No. 3 and its formula is on file with ano
     declines the unsourced obligation                    want=PASS got=PASS
     no hedge at all; 'not in' matches incidentally       want=FAIL got=FAIL
     asserts the TTB obligation in fresh words            want=FAIL got=FAIL
     hedges without the word 'confirm'                    want=PASS got=PASS
  [~] the hedged interrogative q03 wants and the scorer fails scores FAIL — known limitation, documented in the question's note
     bare assertion of the same banned phrase             want=FAIL got=FAIL
     cue present, no `whether` between it and the token   want=FAIL got=FAIL
     hedges once, then asserts once — one bare mention is enough want=FAIL got=FAIL
  [~] hedges about sources AND asserts the obligation anyway scores PASS — known limitation, documented in the question's note

q04  HHS asked manufacturers to phase out Red No. 3 sooner than 2027. Is that binding on us?
     distinguishes request from rule                      want=PASS got=PASS
     treats the request as binding                        want=FAIL got=FAIL
     hedges the wrong way                                 want=FAIL got=FAIL
     terse denial                                         want=PASS got=PASS
     'voluntary' phrasing only                            want=PASS got=PASS

q05  What are the two main criteria a food must meet to use the 'healthy' claim under the upd
     both criteria                                        want=PASS got=PASS
     the LIVE phrasing at e26d8ef — quantity phrase in the gap want=PASS got=PASS
     states both criteria INVERTED                        want=FAIL got=FAIL
     fabricates a front-of-package requirement            want=FAIL got=FAIL
     'not exceed' phrasing                                want=PASS got=PASS
     'at least one' plus 'below the limits'               want=PASS got=PASS
     one criterion right, one inverted                    want=FAIL got=FAIL

q06  Which CFR section governs the 'healthy' implied nutrient content claim?
     names the section                                    want=PASS got=PASS
